region,axonal_bifurcation_remote_angle_mean_zscore,axonal_length_mean_zscore,axonal_branches_mean_zscore,axonal_max_branch_order_mean_zscore,dendritic_bifurcation_remote_angle_mean_zscore,dendritic_length_mean_zscore,dendritic_branches_mean_zscore,dendritic_max_branch_order_mean_zscore
PAS,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
PB,0.7105969864568598,0.4237709248752571,2.236671095738875,0.9032458582626978,-1.452858506154952,0.04312271192375071,-0.18170442308041246,-0.5143343128105823
PBG,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
PC5,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
PCG,1.0131222274735172,1.8586773641795382,3.630959655982511,4.4577968521836695,-1.4958375587417199,-0.4495053720989893,-0.8472930417022985,-0.7928971944864139
PCN,0.6063741451158459,1.4666524658760736,0.7040855220362684,0.542236772942599,-0.5550631117559107,0.4623259995479167,0.6669210656624922,-0.20481999983743598
PD,0.9768226795211984,0.7661152730898405,1.9020701373445368,2.680521355223184,-0.017888965663833186,-1.0513300835951531,-1.0802490582199586,-1.0095572135676163
PDTg,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
PERI,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
PF,0.7603342524813617,1.2159271800345663,2.0138395906771063,1.0143255768227282,0.3935544396521687,0.5102179555640723,0.16772960169607773,-0.42148001891863834
PFL,0.7845082383000087,-0.731715403944704,-0.49354539247031504,-0.27697615143762505,0.04305030953816733,-0.3544323466230417,3.7785478577198095,3.1534102959212023
PG,0.37316284402682154,-0.14967964015785545,-0.5045101173225608,-0.4050263825554379,1.3055965661104023,-0.9941505936724572,-0.36104357865353176,-0.5452857441078969
PGRNd,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
PGRNl,0.8097445122903323,0.8243205918288412,0.5367850428390993,0.542236772942599,-0.8639218655493736,0.8268977227543597,-0.14842499214931815,-0.42148001891863834
PH,0.9604725516718642,0.6858098621124274,1.0306569443207043,1.568895216499298,0.5481489760459876,-0.7411082409180584,-0.8985367425638592,-0.7356139485033242
PIL,0.6373154437136423,1.0544571254463475,1.4090112197951639,1.1346619385960943,-0.9876533565481327,0.36996560258019695,-0.043040127534186276,-0.2667228624320652
PIR,0.7104341134672411,1.1002660255070265,0.024803132399560283,0.17428520521249835,-0.3790989945673961,-0.042212601085022415,-0.22053042583335572,-0.3286257250266944
PL,0.7101847355445485,2.290429593759017,0.3535069101481516,0.4910870128336144,-0.02702342556817524,0.8661792766698799,0.02552450568793296,0.4419621235451944
